Category,City,Customer Name,Discount,Manufacturer,Order ID,Product Name,Profit,Quantity,Region,Sales,Segment,Order Date,Ship Date,Ship Mode,State,Sub-Category,Product Container,Store Name,New Transportation,Unit Price,Shipping Cost,Priority
Office Supplies,Haridwar,Lallungmuana Amarnath ,0.4,Stiletto,HKG-2016-80433,"Stiletto Shears, High Speed",-4,4,North,115,Home Office,2017/5/28,2017/6/2,Standard Class,Uttarakhand,Supplies,Small Box,Anderson,Regular Air,5.34,5.63,Urgent
Office Supplies,Kalyani,S. Y ,0.4,Advantus,HKG-2016-84199,"Advantus Staples, Bulk Pack",-3,4,East,26,Corporate,2017/9/13,2017/9/18,Standard Class,West Bengal,Fasteners,Small Box,Anderson,Regular Air,5.34,5.63,Urgent
Office Supplies,Hyderabad,Hemant PALANI ,0.4,Harbour Creations,HKG-2016-85956,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",-7,6,South,39,Corporate,2017/8/16,2017/8/19,First Class,Telangana,Labels,Small Box,Rice,Regular Air,6.48,7.49,Urgent
Office Supplies,Elamanchili,Mani Acharya ,0.4,Accos,HKG-2017-81448,"Accos Rubber Bands, 12 Pack",-24,6,South,58,Consumer,2018/11/26,2018/11/30,Second Class,Andhra Pradesh,Fasteners,Small Box,Shale,Regular Air,200.99,4.2,Not Specified
Office Supplies,Dumraon,R M ,0.4,Acco,HKG-2017-81448,"Acco Binding Machine, Clear",-5,2,East,61,Consumer,2018/11/26,2018/11/30,Second Class,Bihar,Binders,Small Box,Jackson,Express Air,12.28,6.47,High
Technology,Saharsa,Mehul Puri ,0.4,Belkin,HKG-2017-81938,"Belkin Router, Erganomic",-118,2,East,308,Corporate,2018/1/3,2018/1/4,First Class,Bihar,Accessories,Small Pack,Jordan,Regular Air,8.46,3.62,High
Office Supplies,Raipur,Bishwajit Saxena ,0.4,Novimex,HKG-2017-81938,"Novimex Round Labels, Laser Printer Compatible",1,2,North,8,Corporate,2018/1/3,2018/1/4,First Class,Chhattisgarh,Labels,Small Box,Morris,Regular Air,37.76,12.9,Medium
Office Supplies,Gurgaon,Rajib Mojjada ,0.4,Elite,HKG-2017-81938,"Elite Shears, Easy Grip",-55,4,North,117,Corporate,2018/1/3,2018/1/4,First Class,Haryana,Supplies,Small Box,Garden,Regular Air,2.08,1.49,Medium
Office Supplies,Basavakalyan,Pradip Agarwal ,0.4,Accos,HKG-2017-81938,"Accos Paper Clips, Assorted Sizes",-3,2,South,14,Corporate,2018/1/3,2018/1/4,First Class,Karnataka,Fasteners,Small Box,Shale,Regular Air,200.99,4.2,Not Specified
Office Supplies,Dahanu,Arcot Choudhari ,0.4,Eldon,HKG-2017-81938,"Eldon Folders, Industrial",-52,8,West,84,Corporate,2018/1/3,2018/1/4,First Class,Maharashtra,Storage,Wrap Bag,Marietta,Regular Air,1.68,1.57,Not Specified
Office Supplies,Dhule,Kommula C Singh Singh ,0.4,Avery,HKG-2017-86887,"Avery Removable Labels, Alphabetical",-4,2,West,13,Home Office,2018/10/6,2018/10/13,Standard Class,Maharashtra,Labels,Jumbo Drum,Garden,Delivery Truck,33.94,19.19,Medium
Furniture,Fazilka,Jaspreet Babu ,0.4,Dania,HKG-2017-85970,"Dania Floating Shelf Set, Traditional",7,1,North,102,Consumer,2018/11/13,2018/11/18,Standard Class,Punjab,Bookcases,Jumbo Drum,Garden,Delivery Truck,33.94,19.19,Medium
Technology,Hindaun,Bradley Patro ,0.4,SanDisk,HKG-2017-85970,"SanDisk Memory Card, Bluetooth",-83,2,North,135,Consumer,2018/11/13,2018/11/18,Standard Class,Rajasthan,Accessories,Small Box,Diaz,Regular Air,5.74,5.01,High
Office Supplies,Lucknow,D Bhargava ,0.4,Cuisinart,HKG-2016-80314,"Cuisinart Stove, White",-536,4,East,1287,Consumer,2017/10/4,2017/10/4,Same Day,Uttar Pradesh,Appliances,Small Box,Jackson,Express Air,12.28,6.47,High
Furniture,Chandausi,Prem Nag ,0.4,Safco,HKG-2016-80314,"Safco 3-Shelf Cabinet, Mobile",-86,2,East,206,Consumer,2017/10/4,2017/10/4,Same Day,Uttar Pradesh,Bookcases,Small Box,Rice,Regular Air,6.48,7.49,Urgent
Office Supplies,Basti,Kiran Ramanan ,0.4,Avery,HKG-2016-80314,"Avery Hole Reinforcements, Durable",-3,2,East,7,Consumer,2017/10/4,2017/10/4,Same Day,Uttar Pradesh,Binders,Wrap Bag,Marietta,Regular Air,1.68,1.57,Not Specified
Furniture,Sultanpur,Sanjeev Madhav Jonnavittula ,0.4,Safco,HKG-2014-80545,"SAFCO Rocking Chair, Red",-30,2,East,162,Corporate,2015/1/30,2015/1/30,Same Day,Uttar Pradesh,Chairs,Medium Box,Reyes,Regular Air,14.42,6.75,Medium
Furniture,Dehradun,Sanjay Naiding ,0.4,Sauder,HKG-2016-80965,"Sauder Corner Shelving, Mobile",-222,4,North,360,Corporate,2017/3/28,2017/4/1,Standard Class,Uttarakhand,Bookcases,Small Box,Morris,Regular Air,37.76,12.9,Medium
Furniture,Haridwar,Asim Mane ,0.4,Eldon,HKG-2014-82414,"Eldon Clock, Erganomic",11,2,North,66,Corporate,2015/9/15,2015/9/22,Standard Class,Uttarakhand,Furnishings,Small Pack,Jordan,Regular Air,8.46,3.62,High
Office Supplies,Kalimpong,Jigyasa Sarkar ,0.4,Avery,HKG-2014-82414,"Avery Legal Exhibit Labels, Laser Printer Compatible",-12,4,East,27,Corporate,2015/9/15,2015/9/22,Standard Class,West Bengal,Labels,Medium Box,Reyes,Regular Air,14.42,6.75,Medium
Office Supplies,Naihati,Pradeep Jain ,0.4,Stiletto,HKG-2015-85095,"Stiletto Scissors, Easy Grip",-17,2,East,30,Home Office,2016/7/17,2016/7/21,Standard Class,West Bengal,Supplies,Small Box,Garden,Regular Air,2.08,1.49,Medium
Office Supplies,Titagarh,Hirdesh Sharma ,0.4,Stockwell,HKG-2015-85095,"Stockwell Rubber Bands, Metal",-4,2,East,20,Home Office,2016/7/17,2016/7/21,Standard Class,West Bengal,Fasteners,Small Box,Diaz,Regular Air,5.74,5.01,High
Office Supplies,Hyderabad,Bhuvaneshwari Malik ,0.4,Rogers,HKG-2015-85095,"Rogers Lockers, Blue",-445,6,South,762,Home Office,2016/7/17,2016/7/21,Standard Class,Telangana,Storage,Jumbo Box,Mills,Delivery Truck,400.97,48.26,High
Technology,Akividu,Jay N S ,0.4,SanDisk,HKG-2015-83331,"SanDisk Mouse, Bluetooth",-30,2,South,46,Consumer,2016/6/27,2016/7/2,Standard Class,Andhra Pradesh,Accessories,Small Pack,Williams,Regular Air,85.99,3.3,High
Furniture,Porsa,Deepak Agarwal ,0.4,Rubbermaid,HKG-2016-85613,"Rubbermaid Frame, Erganomic",-22,2,Central,130,Home Office,2017/10/24,2017/10/27,Second Class,Madhya Pradesh,Furnishings,Small Pack,Williams,Regular Air,15.28,1.99,High
Office Supplies,Latur,Nandita Gupta ,0.4,Ames,HKG-2016-85102,"Ames Business Envelopes, Recycled",3,6,West,61,Corporate,2017/8/4,2017/8/6,First Class,Maharashtra,Envelopes,Jumbo Box,Mills,Delivery Truck,400.97,48.26,High
Office Supplies,Allahabad,PRADUMAN Pandey ,0.4,Jiffy,HKG-2016-85102,"Jiffy Manila Envelope, Security-Tint",-11,2,East,34,Corporate,2017/8/4,2017/8/6,First Class,Uttar Pradesh,Envelopes,Small Pack,Williams,Regular Air,15.28,1.99,High
Furniture,Rishikesh,Rohit Shankar ,0.4,Safco,HKG-2016-85102,"SAFCO Chairmat, Set of Two",-19,6,North,223,Corporate,2017/8/4,2017/8/6,First Class,Uttaranchal,Chairs,Small Pack,Williams,Regular Air,85.99,3.3,High
Furniture,Vizianagaram,Jaikrishnan Subramanian ,0.4,Tenex,HKG-2016-84066,"Tenex Photo Frame, Black",-4,4,South,124,Consumer,2017/12/24,2017/12/27,Second Class,Andhra Pradesh,Furnishings,Wrap Bag,Brooks,Regular Air,37.94,5.08,Urgent
Furniture,Silchar,Ajay Prasad Yogi ,0.4,Office Star,HKG-2016-84066,"Office Star Executive Leather Armchair, Adjustable",-263,2,North East,564,Consumer,2017/12/24,2017/12/27,Second Class,Assam,Chairs,Small Box,Ortiz,Regular Air,3.69,0.5,Not Specified
Office Supplies,Patna,Vikram Vyas ,0.4,Cameo,HKG-2017-86733,"Cameo Manila Envelope, with clear poly window",7,8,East,147,Consumer,2018/11/27,2018/12/2,Standard Class,Bihar,Envelopes,Small Box,Griffin,Regular Air,205.99,3,High
Furniture,Dehri,Gunajit Sharma ,0.4,Deflect-O,HKG-2017-86733,"Deflect-O Light Bulb, Duo Pack",-21,4,East,46,Consumer,2018/11/27,2018/12/2,Standard Class,Bihar,Furnishings,Small Pack,Chickasa,Express Air,43.98,1.99,Low
Furniture,Hajipur,Sundar Srivastava ,0.4,Harbour Creations,HKG-2017-86733,"Harbour Creations Steel Folding Chair, Set of Two",-136,4,East,240,Consumer,2018/11/27,2018/12/2,Standard Class,Bihar,Chairs,Small Box,Ortiz,Regular Air,6.3,0.5,Not Specified
Office Supplies,Bilaspur,Navin Maurya ,0.4,Binney & Smith,HKG-2017-86733,"Binney & Smith Canvas, Fluorescent",-22,6,Central,189,Consumer,2018/11/27,2018/12/2,Standard Class,Chhattisgarh,Art,Small Box,Wright,Regular Air,19.98,8.68,Not Specified
Office Supplies,Bawana,Vishwajeet Verma ,0.4,Kraft,HKG-2016-86530,"Kraft Interoffice Envelope, Set of 50",-19,2,North,56,Consumer,2017/11/12,2017/11/17,Standard Class,Delhi,Envelopes,Small Box,Nichols,Regular Air,42.76,6.22,Medium
Technology,Panjim,Vaibhav Ananda ,0.4,Enermax,HKG-2017-83597,"Enermax Keyboard, Programmable",-17,2,West,102,Consumer,2018/5/8,2018/5/13,Second Class,Goa,Accessories,Small Box,Griffin,Express Air,8.34,4.82,High
Furniture,Gurgaon,Ravi Muppana ,0.4,Tenex,HKG-2016-82120,"Tenex Door Stop, Erganomic",-15,4,North,102,Corporate,2017/4/4,2017/4/10,Standard Class,Haryana,Furnishings,Small Box,Rice,Regular Air,35.99,1.1,Not Specified
Technology,Ramgarh,Vikal Singh ,0.4,Belkin,HKG-2014-82148,"Belkin Memory Card, USB",-85,2,Central,138,Corporate,2015/11/10,2015/11/15,Standard Class,Jharkhand,Accessories,Small Pack,Griffin,Express Air,17.67,8.99,High
Office Supplies,Saundatti,Sayali Gandhale ,0.4,Avery,HKG-2016-83835,"Avery Binder Covers, Clear",-5,2,South,13,Corporate,2017/11/6,2017/11/12,Standard Class,Karnataka,Binders,Small Pack,Snyder,Regular Air,20.24,6.67,Not Specified
Office Supplies,Manvi,Rasampalayam Mallik ,0.4,Enermax,HKG-2016-83835,"Enermax Note Cards, Premium",0,2,South,36,Corporate,2017/11/6,2017/11/12,Standard Class,Karnataka,Paper,Small Box,Ortiz,Regular Air,3.69,0.5,Not Specified
Office Supplies,Daboh,Sajal Wale ,0.4,Acco,HKG-2014-84136,"Acco Hole Reinforcements, Economy",-2,8,Central,32,Consumer,2015/7/3,2015/7/8,Standard Class,Madhya Pradesh,Binders,Small Box,Mitchell,Regular Air,14.48,6.46,Not Specified
Technology,Satna,Santosh M Anisuzzaman ,0.4,Canon,HKG-2014-84136,"Canon Personal Copier, Laser",-40,2,Central,171,Consumer,2015/7/3,2015/7/8,Standard Class,Madhya Pradesh,Copiers,Small Box,Ortiz,Regular Air,5.06,2.99,Not Specified
Office Supplies,Solapur,Sharad D ,0.4,Eldon,HKG-2015-81392,"Eldon Box, Blue",-5,8,West,49,Consumer,2016/10/25,2016/10/30,Standard Class,Maharashtra,Storage,Small Pack,Griffin,Express Air,17.67,8.99,High
Office Supplies,Muktsar,Rakesh Kedari ,0.4,Sanford,HKG-2015-85256,"Sanford Canvas, Easy-Erase",-10,2,North,61,Corporate,2016/10/13,2016/10/19,Standard Class,Punjab,Art,Small Box,Nichols,Regular Air,42.76,6.22,Medium
Furniture,Ganganagar,Sujit Bansode ,0.4,Novimex,HKG-2015-80181,"Novimex Chairmat, Adjustable",-94,4,North,141,Consumer,2016/3/9,2016/3/12,Second Class,Rajasthan,Chairs,Small Box,Griffin,Express Air,8.34,4.82,High
Office Supplies,Beawar,Dharmesh Dahale ,0.4,Hoover,HKG-2015-80181,"Hoover Refrigerator, Red",-63,2,North,632,Consumer,2016/3/9,2016/3/12,Second Class,Rajasthan,Appliances,Small Pack,Chickasa,Express Air,43.98,1.99,Low
Office Supplies,Kekri,Dibya P.V. ,0.4,Cardinal,HKG-2015-80181,"Cardinal Hole Reinforcements, Clear",0,1,North,3,Consumer,2016/3/9,2016/3/12,Second Class,Rajasthan,Binders,Small Box,Cement,Regular Air,59.78,10.29,Urgent
Technology,Karaikkudi,Vinod Thakur ,0.4,Motorola,HKG-2017-83198,"Motorola Smart Phone, Full Size",-26,2,South,773,Corporate,2018/5/4,2018/5/11,Standard Class,Tamil Nadu,Phones,Small Box,Wright,Regular Air,19.98,8.68,Not Specified
Office Supplies,Cuddalore,Rajendra Daggupati ,0.4,OIC,HKG-2017-83198,"OIC Rubber Bands, Assorted Sizes",-21,6,South,52,Corporate,2018/5/4,2018/5/11,Standard Class,Tamil Nadu,Fasteners,Small Box,Cement,Regular Air,59.78,10.29,Urgent
Office Supplies,Mirzapur,Vishwajeet Verma ,0.4,Fiskars,HKG-2017-83198,"Fiskars Shears, Easy Grip",-38,4,East,118,Corporate,2018/5/4,2018/5/11,Standard Class,Uttar Pradesh,Supplies,Small Box,Rice,Regular Air,35.99,1.1,Not Specified
Office Supplies,Kasganj,Shyam J ,0.4,KitchenAid,HKG-2017-80657,"KitchenAid Refrigerator, Red",-349,6,East,1901,Consumer,2018/5/16,2018/5/18,Second Class,Uttar Pradesh,Appliances,Jumbo Drum,Wright,Delivery Truck,355.98,58.92,Not Specified
Office Supplies,Basti,Sujit Bajaj ,0.4,Xerox,HKG-2017-80657,"Xerox Message Books, Multicolor",-15,2,East,26,Consumer,2018/5/16,2018/5/18,Second Class,Uttar Pradesh,Paper,Wrap Bag,Brooks,Regular Air,37.94,5.08,Urgent
Furniture,Gorakhpur,Parijeet Nagaraju Duba ,0.4,Novimex,HKG-2016-83142,"Novimex Executive Leather Armchair, Red",-331,2,East,552,Corporate,2017/6/1,2017/6/3,Second Class,Uttar Pradesh,Chairs,Small Pack,Snyder,Regular Air,20.24,6.67,Not Specified
Technology,Rishikesh,Ghanshyam Bande ,0.4,Brother,HKG-2014-83982,"Brother Fax Machine, Color",-358,4,North,768,Consumer,2015/5/24,2015/5/27,Second Class,Uttaranchal,Copiers,Jumbo Drum,Wright,Delivery Truck,355.98,58.92,Not Specified
Office Supplies,Haora,K Sahoo ,0.4,Acme,HKG-2016-80279,"Acme Shears, High Speed",-10,4,East,120,Consumer,2017/5/11,2017/5/14,First Class,West Bengal,Supplies,Small Box,Mitchell,Regular Air,14.48,6.46,Not Specified
Office Supplies,Chandannagar,Sachin Deorukhkar ,0.4,Stockwell,HKG-2016-80279,"Stockwell Clamps, Assorted Sizes",-9,4,East,39,Consumer,2017/5/11,2017/5/14,First Class,West Bengal,Fasteners,Small Box,Griffin,Regular Air,205.99,3,High
Technology,Chandannagar,Satya Anjaneyulu ,0.4,Apple,HKG-2016-80279,"Apple Headset, with Caller ID",-38,2,East,88,Consumer,2017/5/11,2017/5/14,First Class,West Bengal,Phones,Small Box,Ortiz,Regular Air,5.06,2.99,Not Specified
Furniture,Asansol,Vikas Shaikh ,0.4,Hon,HKG-2015-84381,"Hon Rocking Chair, Set of Two",-96,2,East,159,Consumer,2016/9/11,2016/9/18,Standard Class,West Bengal,Chairs,Small Box,Ortiz,Regular Air,6.3,0.5,Not Specified
Office Supplies,Port Blair,Siddheshwarappa Ghosh ,0.4,KitchenAid,HKG-2015-84381,"KitchenAid Stove, Black",-513,6,East,2050,Consumer,2016/9/11,2016/9/18,Standard Class,Andaman and Nicobar Islands,Appliances,Wrap Bag,Foster,Express Air,1.68,0.7,Not Specified
Office Supplies,Port Blair,Siddheshwarappa Ghosh ,0.4,Stockwell,HKG-2015-80412,"Stockwell Rubber Bands, 12 Pack",-3,2,East,19,Consumer,2016/10/25,2016/10/26,First Class,Andaman and Nicobar Islands,Fasteners,Wrap Bag,Foster,Express Air,1.68,0.7,Not Specified
Technology,Serilingampalle,Javed Sasan ,0.4,SanDisk,HKG-2017-80118,"SanDisk Numeric Keypad, Bluetooth",8,2,South,67,Home Office,2018/1/29,2018/2/3,Standard Class,Telangana,Accessories,Small Box,Hall,Regular Air,6.48,5.82,Low
Furniture,Bhaisa,Vaishali Mishra ,0.4,Deflect-O,HKG-2017-80118,"Deflect-O Stacking Tray, Durable",-15,4,South,61,Home Office,2018/1/29,2018/2/3,Standard Class,Telangana,Furnishings,Wrap Bag,Hall,Regular Air,2.88,1.01,Low
Office Supplies,Hajo,N S ,0.4,Avery,HKG-2017-84745,"Avery Binder Covers, Clear",-5,2,North East,13,Consumer,2018/6/11,2018/6/14,First Class,Assam,Binders,Wrap Bag,Foster,Express Air,1.68,0.7,Not Specified
Technology,Barhiya,Vijay Venkata Durga Rao ,0.4,Belkin,HKG-2017-84745,"Belkin Mouse, USB",-5,2,East,49,Consumer,2018/6/11,2018/6/14,First Class,Bihar,Accessories,Jumbo Drum,Garden,Delivery Truck,200.97,15.59,Low
Office Supplies,Bodh Gaya,Ajay Srirangam ,0.4,Ames,HKG-2017-81889,"Ames Interoffice Envelope, Security-Tint",-25,2,East,57,Corporate,2018/5/20,2018/5/24,Standard Class,Bihar,Envelopes,Small Pack,Greene,Regular Air,39.48,1.99,Medium
Technology,Kalavad,Kanak Sathyanarayanan ,0.4,Memorex,HKG-2016-81049,"Memorex Router, Erganomic",-15,2,West,293,Consumer,2017/11/14,2017/11/20,Standard Class,Gujarat,Accessories,Small Box,Riley,Regular Air,17.7,9.47,Urgent
Office Supplies,Bijapur,Siva Bhaumik ,0.4,Cameo,HKG-2016-81049,"Cameo Peel and Seal, Security-Tint",-10,2,South,28,Consumer,2017/11/14,2017/11/20,Standard Class,Karnataka,Envelopes,Small Box,Palmer,Express Air,100.98,7.18,High
Office Supplies,Shimoga,Narendra Hiremath Patil ,0.4,Wilson,HKG-2014-83695,"Wilson Jones Binder Covers, Durable",-1,4,South,30,Consumer,2015/11/13,2015/11/16,First Class,Karnataka,Binders,Small Box,Simmons,Regular Air,205.99,8.99,Not Specified
Office Supplies,Shertallai,Yogesh Babu ,0.4,Cardinal,HKG-2014-83695,"Cardinal Binder Covers, Economy",-4,1,South,7,Consumer,2015/11/13,2015/11/16,First Class,Kerala,Binders,Small Pack,Greene,Regular Air,39.48,1.99,Medium
Office Supplies,Sironj,Dipak Bhandarkar ,0.4,Cardinal,HKG-2016-86348,"Cardinal Hole Reinforcements, Recycled",-7,8,Central,27,Consumer,2017/10/16,2017/10/21,Standard Class,Madhya Pradesh,Binders,Small Box,Palmer,Express Air,100.98,7.18,High
Office Supplies,Ashta,Mahesh Rao ,0.4,Cardinal,HKG-2017-83415,"Cardinal Binder, Economy",-4,2,Central,17,Consumer,2018/11/4,2018/11/9,Second Class,Madhya Pradesh,Binders,Small Box,Burns,Regular Air,27.75,19.99,Medium
Furniture,Thane,Anup D ,0.4,Safco,HKG-2017-83415,"SAFCO Steel Folding Chair, Set of Two",3,2,West,106,Consumer,2018/11/4,2018/11/9,Second Class,Maharashtra,Chairs,Small Box,Ross,Regular Air,30.98,6.5,Medium
Office Supplies,Chikhli,Sumedh Rao ,0.4,Rogers,HKG-2017-83415,"Rogers Folders, Blue",11,4,West,74,Consumer,2018/11/4,2018/11/9,Second Class,Maharashtra,Storage,Small Box,Simmons,Regular Air,205.99,8.99,Not Specified
Office Supplies,Kapurthala,Chetan Kumar ,0.4,Ibico,HKG-2017-83415,"Ibico Index Tab, Clear",-13,4,North,21,Consumer,2018/11/4,2018/11/9,Second Class,Punjab,Binders,Small Box,Ross,Regular Air,65.99,4.99,Medium
Furniture,Fazilka,Khushboo Nair ,0.4,Deflect-O,HKG-2017-83415,"Deflect-O Clock, Durable",-108,6,North,170,Consumer,2018/11/4,2018/11/9,Second Class,Punjab,Furnishings,Small Box,Hall,Regular Air,6.48,5.82,Low
Technology,Jalandhar,Dhamotharan Singh ,0.4,Belkin,HKG-2017-83415,"Belkin Keyboard, USB",-10,4,North,202,Consumer,2018/11/4,2018/11/9,Second Class,Punjab,Accessories,Wrap Bag,Ford,Regular Air,1.86,2.58,Low
Office Supplies,Bundi,Ashok Pokhriyal ,0.4,Green Bar,HKG-2017-83415,"Green Bar Memo Slips, Recycled",-1,1,North,10,Consumer,2018/11/4,2018/11/9,Second Class,Rajasthan,Paper,Small Box,Riley,Regular Air,17.7,9.47,Urgent
Technology,Karaikkudi,Swapnil Qureshi ,0.4,Memorex,HKG-2014-83737,"Memorex Memory Card, Bluetooth",12,2,South,123,Corporate,2015/10/6,2015/10/11,Standard Class,Tamil Nadu,Accessories,Wrap Bag,Hall,Regular Air,2.88,1.01,Low
Office Supplies,Padrauna,R M ,0.4,Stockwell,HKG-2014-83737,"Stockwell Push Pins, Bulk Pack",-3,2,East,17,Corporate,2015/10/6,2015/10/11,Standard Class,Uttar Pradesh,Fasteners,Jumbo Drum,Garden,Delivery Truck,200.97,15.59,Low
Furniture,Sisauli,Naveen D ,0.4,Deflect-O,HKG-2014-83737,"Deflect-O Light Bulb, Black",-15,4,East,46,Corporate,2015/10/6,2015/10/11,Standard Class,Uttar Pradesh,Furnishings,Small Box,Ross,Regular Air,30.98,6.5,Medium
Office Supplies,Budaun,Chetan Singh ,0.4,Avery,HKG-2016-85536,"Avery Binding Machine, Durable",-38,4,East,121,Consumer,2017/11/12,2017/11/16,Standard Class,Uttar Pradesh,Binders,Small Box,Ross,Regular Air,65.99,4.99,Medium
Office Supplies,Mirzapur,Abhijit Shinde ,0.4,SanDisk,HKG-2016-85536,"SanDisk Note Cards, Premium",-8,2,East,37,Consumer,2017/11/12,2017/11/16,Standard Class,Uttar Pradesh,Paper,Wrap Bag,Ford,Regular Air,1.86,2.58,Low
Office Supplies,Saharanpur,Bhagwansingh George ,0.4,Novimex,HKG-2017-86593,"Novimex Removable Labels, 5000 Label Set",-23,6,East,36,Consumer,2018/5/9,2018/5/14,Standard Class,Uttar Pradesh,Labels,Small Box,Burns,Regular Air,27.75,19.99,Medium
Furniture,Nainital,Deepak Agarwal ,0.4,Bevis,HKG-2014-86313,"Bevis Computer Table, Adjustable Height",-335,4,North,1181,Corporate,2015/12/2,2015/12/8,Standard Class,Uttaranchal,Tables,Wrap Bag,Foster,Express Air,1.68,0.7,Not Specified
Office Supplies,Haora,Rajendra Rajagopalan ,0.4,GlobeWeis,HKG-2014-82589,"GlobeWeis Interoffice Envelope, Set of 50",-48,4,East,115,Home Office,2015/1/11,2015/1/15,Standard Class,West Bengal,Envelopes,Wrap Bag,Foster,Express Air,1.68,0.7,Not Specified
Technology,Veraval,Megha Ramamoorthi ,0.4,Cisco,HKG-2017-82050,"Cisco Office Telephone, with Caller ID",-52,4,West,193,Consumer,2018/5/30,2018/6/4,Standard Class,Gujarat,Phones,Small Box,Robertson,Regular Air,9.65,6.22,Medium
Office Supplies,Ranavav,Gunajit Sharma ,0.4,Wilson,HKG-2017-83044,"Wilson Jones 3-Hole Punch, Economy",-7,1,West,17,Consumer,2018/4/23,2018/4/29,Standard Class,Gujarat,Binders,Small Box,Robertson,Regular Air,4.98,7.44,Medium
Technology,Patan,Jayantilal Karthikeyan ,0.4,Cisco,HKG-2017-83044,"Cisco Office Telephone, with Caller ID",-26,2,West,97,Consumer,2018/4/23,2018/4/29,Standard Class,Gujarat,Phones,Small Box,Anderson,Express Air,12.28,6.13,Low
